,index,PAIN_ACUTE_RX,DEM_EDU,OP_NMU_EVER
0,10,No,1,0.2
1,11,No,2,0.2
2,12,No,3,0.199203187250996
3,13,No,4,0.19556451612903225
4,14,No,5,0.2288261515601783
5,15,No,6,0.19550561797752808
6,16,No,7,0.22967479674796748
7,17,No,8,0.2217573221757322
8,18,No,9,0.1890547263681592
9,19,No,10,0.2727272727272727
10,20,Yes,1,0.4
11,21,Yes,2,0.36363636363636365
12,22,Yes,3,0.21052631578947367
13,23,Yes,4,0.27739251040221913
14,24,Yes,5,0.28078817733990147
15,25,Yes,6,0.23052208835341365
16,26,Yes,7,0.26245847176079734
17,27,Yes,8,0.26627218934911245
18,28,Yes,9,0.46601941747572817
19,29,Yes,10,0.34210526315789475
