,index,PAIN_ACUTE_RX,DEM_INCOME,OP_NMU_EVER
0,10,No,1,0.5333333333333333
1,11,No,2,0.5703703703703704
2,12,No,3,0.5112781954887218
3,13,No,4,0.599290780141844
4,14,No,5,0.538860103626943
5,15,No,6,0.5960264900662252
6,16,No,7,0.6091954022988506
7,17,No,8,0.5681818181818182
8,18,No,9,0.6413043478260869
9,19,No,10,0.5288461538461539
10,20,Yes,1,0.6686046511627907
11,21,Yes,2,0.641860465116279
12,22,Yes,3,0.6273584905660378
13,23,Yes,4,0.6335078534031413
14,24,Yes,5,0.6754098360655738
15,25,Yes,6,0.6824324324324325
16,26,Yes,7,0.6639344262295082
17,27,Yes,8,0.6507936507936508
18,28,Yes,9,0.6766917293233082
19,29,Yes,10,0.618421052631579
