,index,PAIN_ACUTE_RX,DEM_EDU,OP_NMU_EVER
0,8,No,1,0.18571428571428572
1,9,No,2,0.10579710144927536
2,10,No,3,0.11497326203208556
3,11,No,4,0.09881422924901186
4,12,No,5,0.10048622366288493
5,13,No,6,0.100398406374502
6,14,No,7,0.0625
7,15,No,8,0.059322033898305086
8,16,Yes,1,0.24786324786324787
9,17,Yes,2,0.1673076923076923
10,18,Yes,3,0.2041851616994293
11,19,Yes,4,0.13861386138613863
12,20,Yes,5,0.17966101694915254
13,21,Yes,6,0.1712860310421286
14,22,Yes,7,0.2033898305084746
15,23,Yes,8,0.2789473684210526
