,index,PAIN_ACUTE_RX,DEM_INCOME,OP_NMU_EVER
0,11,No,1,0.15384615384615385
1,12,No,2,0.13626373626373625
2,13,No,3,0.09333333333333334
3,14,No,4,0.12585812356979406
4,15,No,5,0.10337078651685393
5,16,No,6,0.07631578947368421
6,17,No,7,0.07977207977207977
7,18,No,8,0.07575757575757576
8,19,No,9,0.09765625
9,20,No,10,0.07467911318553092
10,21,No,11,0.06164383561643835
11,22,Yes,1,0.1971995332555426
12,23,Yes,2,0.19230769230769232
13,24,Yes,3,0.1917989417989418
14,25,Yes,4,0.16118935837245696
15,26,Yes,5,0.17313432835820897
16,27,Yes,6,0.19148936170212766
17,28,Yes,7,0.1800356506238859
18,29,Yes,8,0.2073170731707317
19,30,Yes,9,0.2601626016260163
20,31,Yes,10,0.18070009460737937
21,32,Yes,11,0.09933774834437085
